display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16281] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16282] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16282] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16283] Swap method: copy
display  I           wgl_disp.c:251  display_pixel_format             [   0.16284] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16285] Depth buffer: 0 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16286] Sample buffers: no
display  I           wgl_disp.c:259  display_pixel_format             [   0.16286] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.16287] color: 32 (rgba 8888), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16288] Score is : 1921
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16289] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16290] Decoding visual no. 19...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16295] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16296] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16297] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16298] Swap method: flip
display  I           wgl_disp.c:251  display_pixel_format             [   0.16298] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16299] Depth buffer: 24 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16300] Sample buffers: yes
display  I           wgl_disp.c:259  display_pixel_format             [   0.16301] Samples: 2
display  D   display_settings.c:191  debug_display_settings           [   0.16302] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 16161616, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.16303] Score is : 1798
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16304] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16304] Decoding visual no. 20...
